ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0440234743,The Testament,John Grisham,1999,Dell
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
0971880107,Wild Animus,Rich Shapero,2004,Too Far
0345402871,Airframe,Michael Crichton,1997,Ballantine Books
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
0060938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
0553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
0446608653,The Alibi,Sandra Brown,2000,Warner Books
0446612545,The Beach House,James Patterson,2003,Warner Books
0446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books
0451208080,The Short Forever,Stuart Woods,2003,Signet Book
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
0451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,Onyx Books
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor
0380778556,Rebecca,Daphne Du Maurier,1994,Avon
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta
0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf
0140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books
0446527165,Wish You Well,David Baldacci,2000,Warner Books
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta
0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group
0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra
3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,1980,Diogenes Verlag
3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc
3492045642,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,2003,Piper
3498020862,Die Korrekturen.,Jonathan Franzen,2002,"Rowohlt, Reinbek"
0060977493,The God of Small Things,Arundhati Roy,1998,Perennial
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown"
0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown"
0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books
0345378490,Congo,Michael Crichton,1995,Ballantine Books
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon
0385508042,The King of Torts,John Grisham,2003,Doubleday Books
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday
0385511612,Bleachers,John Grisham,2003,Doubleday
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
0446610399,The Rescue,Nicholas Sparks,2001,Warner Books
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
0553580388,The Patient,Michael Palmer,2001,Bantam Books
0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket
0671027387,Deception Point,Dan Brown,2002,Pocket
0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books
0151008116,Life of Pi,Yann Martel,2002,Harcourt
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books
0804111359,Secret History,DONNA TARTT,1993,Ballantine Books
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown"
0060013117,Night Watch,Terry Pratchett,2002,HarperCollins
0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell
0451526341,Animal Farm,George Orwell,2004,Signet
0553280589,Eva Luna,Isabel Allende,1989,Bantam Books
0571197639,Poisonwood Bible Edition Uk,Barbara Kingsolver,0,Faber Faber Inc
0374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp; Giroux
0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA
0440235502,October Sky: A Memoir,Homer Hickam,1999,Dell
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
1853260673,Far from the Madding Crowd (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
0312963009,Neanderthal: A Novel,John Darnton,1997,St. Martin's Press
0449912302,Dave Barry in Cyberspace,Dave Barry,1997,Ballantine Books
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial
1573228737,Affinity,Sarah Waters,2002,Riverhead Books
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books
0312995423,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press
0449202631,Danger,Dick Francis,1985,Fawcett Books
0743411269,An Accidental Woman,Barbara Delinsky,2003,Pocket Books
0156528207,The Little Prince,Antoine de Saint-ExupÃ©ry,1968,Harcourt
0380012863,Jonathan Livingston Seagull,Richard Bach,1976,Avon
0875421288,"The Complete Book of Incense, Oils &amp; Brews (Llewellyn's Practical Magick)","Scott, Cunningham",1989,Llewellyn Publications
0671867113,Moonlight Becomes You,Mary Higgins Clark,1997,Pocket
0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
0440224675,Hannibal,Thomas Harris,2000,Dell Publishing Company
0449002632,London : The Novel,EDWARD RUTHERFURD,1998,Fawcett
0449213773,Life Before Man,Margaret Atwood,1990,Fawcett Books
0452279690,Cavedweller,Dorothy Allison,1999,Plume Books
0679427430,Wouldn't Take Nothing for My Journey Now,MAYA ANGELOU,1993,Random House
1573225126,Prozac Nation: Young and Depressed in America : A Memoir,Elizabeth Wurtzel,1997,Riverhead Books
0345335465,Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,1991,Del Rey Books
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group
0553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965,Bantam
055358099X,Cloud Nine,Luanne Rice,2000,Bantam Books
0316168815,The Lovely Bones,Alice Sebold,2004,Back Bay Books
0345424719,A Widow for One Year,JOHN IRVING,1999,Ballantine Books
0375414746,The Clearing,TIM GAUTREAUX,2003,Knopf
0440226104,Black and Blue,ANNA QUINDLEN,1999,Dell
0452277337,Le Divorce (William Abrahams Book),Diane Johnson,1997,Plume Books
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket
0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books
0679777431,"The Game of Kings (Lymond Chronicles, 1)",DOROTHY DUNNETT,1997,Vintage
0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers
0380973545,Letters from a Nut,Ted L. Nancy,1999,William Morrow
0060915544,The Bean Trees,Barbara Kingsolver,1989,Perennial
0060925000,"A Suitable Boy : Novel, A",Vikram Seth,1994,Perennial
0060932759,Daughter of Fortune,Isabel Allende,2000,Perennial
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
039914739X,Isle of Dogs,Patricia Daniels Cornwell,2001,Putnam Publishing Group
081296666X,Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,2003,Villard Books
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press
0380710218,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm)
0671000306,Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996,Pocket
0618173870,Everything Is Illuminated: A Novel,Jonathan Safran Foer,2002,Houghton Mifflin Company
0156027321,Life of Pi,Yann Martel,2003,Harvest Books
0385721420,Three Junes,JULIA GLASS,2003,Anchor
0425181111,Strangers,Dean R. Koontz,2002,Berkley Publishing Group
0380732688,Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,2002,Avon
0140286276,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999,Penguin Books
0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books
0553107305,Chopping Spree,DIANE MOTT DAVIDSON,2002,Bantam
080213825X,Four Blondes,Candace Bushnell,2001,Grove Press
0345441133,Summer Island,KRISTIN HANNAH,2002,Ballantine Books
0385490992,The Street Lawyer,John Grisham,1998,Doubleday Books
0385424728,The Chamber,John Grisham,1994,Doubleday Books
0385472951,The Partner,John Grisham,1997,Doubleday Books
0425182878,Chosen Prey,John Sandford,2004,Berkley Publishing Group
0553564528,Guilty as Sin,TAMI HOAG,1997,Bantam
055356451X,Night Sins,TAMI HOAG,1995,Bantam
0020442408,Prince Caspian,C. S. Lewis,1970,MacMillan Publishing Company.
0553225987,Robert's Rules of Order,William Eisner,1986,Bantam Books
0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books
0553576925,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books
0307001164,101 Dalmatians,Justine Korman,1996,Golden Books Publishing Company
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner
0553578693,The Next Accident,LISA GARDNER,2002,Bantam
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial
0385335679,Kissing in Manhattan,DAVID SCHICKLER,2002,Delta
0440122090,Echoes,Maeve Binchy,1989,Dell
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
0821775863,The Future Scrolls,Fern Michaels,2003,Zebra Books
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
