User-ID,ISBN,Book-Rating
191883,0345387651,5
90766,0330300326,5
20180,0446672211,8
141871,0446530263,5
252820,0393321320,6
209631,0385491069,9
7915,0385301499,10
210717,0061090786,5
142143,0345353749,8
139827,0515123471,8
156467,0061099023,10
163570,031220339X,10
196053,0060932139,6
70585,9176437671,8
213638,0553373935,6
23771,0425151867,5
191523,0553584375,8
254201,0671739735,9
242465,0070504253,10
212467,0062553895,5
86835,0451165675,3
152946,0140025596,7
208829,0375706771,10
209464,0007129718,9
134118,0020532105,8
198726,0515131083,10
41449,0812578511,7
74106,082174741X,9
259259,0060520124,8
121726,0684860295,7
134837,0140268022,8
35704,046504512X,8
203764,055357230X,10
153797,0671727583,6
31846,0375507876,8
123608,0039272044,5
276050,0679781587,10
146564,0451186060,8
205426,0811826015,8
95921,0553280341,8
183958,0330296671,9
187822,0226848620,10
205426,0875966721,8
188010,0749395990,8
275922,0385484518,10
239594,0156523868,6
167478,1858498163,8
131027,0312205597,5
29526,0399141146,9
88412,0679430881,9
118275,0843934654,8
137803,3548342728,6
26883,0340685794,7
173835,0842318240,10
233903,0821767747,9
64946,014200023X,7
65665,0963576402,10
55548,0060928336,9
177072,0440211727,7
107921,0449221512,9
242299,0140293248,8
31468,0801820103,5
228681,0440221420,8
122429,0061097861,7
105745,843229635X,7
124010,3453301439,4
155580,0345432983,9
216444,0006513204,7
211426,0306807025,8
119594,0553272500,9
209817,014014904X,10
232522,1566890306,8
51386,0446512435,8
82893,0446384038,10
13582,0425157466,6
110382,051510566X,7
134483,0312151284,8
53590,0140244824,8
69808,0140180788,9
108352,0316769487,10
242299,0471283908,10
213531,0446364150,7
148258,0140245480,8
185087,0805000585,6
6323,0425148343,7
152514,0743213165,10
128332,0375821813,5
67403,0553560735,6
90766,0099422433,8
245645,0345383389,10
90277,2702807844,8
270326,0449212602,6
270838,0763618136,10
262311,0451188489,5
206074,0345396553,10
148744,044021145X,10
3827,0553573314,9
69389,0061061751,7
32627,0553573292,7
83287,0440214165,9
138073,0141007516,9
74630,0679442790,9
151370,155874262X,8
71234,0843950552,10
230013,0843948981,2
68249,0553209450,10
72028,0916856038,5
12100,0151001529,7
246655,0373030274,9
116931,0395727766,5
75485,0312205201,4
66942,0099422042,7
270352,067100767X,4
254064,0446600474,5
259118,0306810964,7
135043,0553109839,10
185771,0020442505,10
128060,0345378156,10
258884,0449002411,5
36715,0743225406,9
171818,1573225517,10
129008,0385492081,8
254859,1858817625,9
62009,0385475713,7
272482,1558682511,8
121170,014029628X,8
169824,0316776963,9
139141,0373218427,5
160295,0345379748,8
79188,0060165979,8
138097,0451190548,10
271448,0312291639,10
218121,0380796104,8
145109,0345300556,10
100578,0142301515,9
150979,0140279407,8
147839,0743405897,5
100345,8807807203,8
206775,3785706847,5
225810,0553262432,10
113955,0553258133,7
15670,006447335X,9
94781,0894863819,8
141511,043935806X,8
43436,0679724362,7
4785,014019536X,5
249958,0684163403,8
124874,0670865796,8
99630,067102535X,6
177284,0553050044,8
270838,0743418220,10
72214,051513628X,7
221655,0553371835,9
28591,0373250193,7
49155,0385730586,10
163759,0263817113,5
11224,0446522597,7
229632,0373240007,5
136139,0140241728,9
240756,0380777630,5
38781,037361375X,10
41084,0385334389,8
69156,0345423348,5
4017,0140070206,10
26583,0380789930,10
128693,1569472475,8
88738,0345387651,7
125774,0099465833,7
238864,0141311282,10
193533,0684866080,10
108799,0312291639,8
269157,031215562X,7
228764,006008460X,8
93046,1931561230,9
56804,0385721617,7
74453,0743233026,5
223814,0044409702,9
79933,2258035988,10
126736,0345386132,5
60098,0373763980,7
188027,0833507249,9
172760,0140441077,6
178201,0385498802,9
104636,0312965354,7
160062,0679727779,5
17183,8439702582,6
100782,0307201031,8
276463,0670031909,8
92810,0061098752,7
236727,0330262130,8
233578,0553278274,5
114865,0140031499,9
86408,0399150706,6
80810,0451155653,9
3373,0385152922,5
23725,8535400915,10
239594,0140140352,9
14422,038077139X,8
95301,0064404773,10
147166,0316648191,7
203075,0671027344,8
16009,0451209907,8
72785,0375752528,7
271284,0691116342,8
167521,0140124373,8
44296,0689850794,9
67840,0425162486,10
10354,0345314255,8
185634,0445408936,8
102702,0345423399,10
248259,0425142078,8
106028,8876922350,8
231993,0441004385,7
165503,0859696707,10
107021,0440241065,6
76352,0394968808,8
190741,0373223404,4
13995,0860683036,8
114446,1900924498,10
30072,1591160537,8
33179,0812517059,5
61028,0451408667,8
153662,0061083917,10
149120,0385502532,9
131675,9057137836,6
28204,038072121X,8
7841,0062509594,9
61028,0425168298,9
83646,0451179188,7
242143,0786881852,9
119671,0060281278,6
137588,014029628X,10
94173,078790080X,5
36907,0312966199,10
264828,2290315435,8
55799,0375502238,7
161299,0312963297,6
246318,0711208050,8
124874,0767915054,8
249791,0198750340X,6
13666,0898796342,8
206438,0451190556,10
165268,0399124586,6
266865,0316769495,9
142039,0800706080,3
51184,3453158830,8
6575,0060198133,8
15945,0966536312,8
161831,0373764324,7
10819,0440917190,9
216670,051511605X,7
153718,0515118559,8
125774,0312966687,9
227250,0373077718,10
87540,0385482515,8
37538,0679731377,9
24440,9724213269,6
112026,0670894605,9
41757,0312966202,9
207825,0440802970,5
268110,0060959037,9
140662,0446605239,10
212923,0385319002,9
198046,0312291639,2
129716,0062502182,10
250936,0515090204,8
114446,0552137030,9
88416,0671874330,5
70541,0060932139,7
84523,0609810162,5
36907,0156148501,10
210587,0743418174,7
225659,8420646210,8
21618,0805051783,7
110912,0060976845,8
97290,0553213237,9
108600,0758900252,10
129489,0345387651,10
89867,0380751925,2
94242,140120113X,8
73044,0688177751,7
151420,849759875X,8
128122,0373243790,10
228311,0452282829,3
236959,074341232X,8
225087,006109286X,10
212088,0140620990,9
3827,0451456599,8
123544,0451168615,7
259035,0440212561,10
78973,0028604199,9
156300,0689711409,10
263877,0446608815,7
223156,0804106509,7
23571,0385265204,9
184985,0451527453,10
88283,0156010887,6
69378,0679749810,9
14422,0061092800,8
228579,0451524497,10
134837,0140430113,9
225810,0679751602,8
35918,0345455762,8
220122,0375706410,9
192211,1558745157,10
108600,0758900341,10
233711,0446606189,7
115537,0446611085,6
239626,0449208648,10
235842,0836218930,10
156534,0950111317,6
111190,0345430514,7
194358,0140298363,7
36609,006051261X,6
139524,0689826990,7
245088,0671524313,6
141710,0385474016,6
97179,1889770000,8
156972,2277300098,9
56470,3596149924,7
123056,0060557818,7
179075,0395486025,10
115692,0316666009,6
67838,0099485419,8
251339,0373292996,7
160295,0385320159,8
199772,0688149766,6
121170,0060988649,3
137006,3453061187,9
36135,0425152901,9
68555,0061042943,7
165319,0373802021,7
60098,037327209X,8
244420,0440441625,10
109247,08487070159,6
14461,3404143744,8
26813,0880882239,10
106849,0399145087,10
147420,0385484518,10
269157,0140036830,6
124079,0590023101,5
91203,0312993536,7
223953,0894712063,5
166922,0140621199,9
26153,0942110781,8
100846,0345323882,8
97208,0345463153,7
148263,1571314024,8
194669,014044050X,8
85993,0312983131,10
31050,0553571575,5
95991,0446677272,8
22074,0312989385,7
219546,0316168815,8
114078,0006513204,8
141157,0811828352,10
160558,0385007051,8
4017,006000438X,10
93141,0842355537,7
66073,0380771292,8
253771,0425182010,8
176459,0140089357,8
120137,0380435136,8
43962,0859249336,9
188273,0316713732,10
246156,0670036056,8
194358,3257231393,10
214920,8439585349,7
224923,0804111359,10
153950,0743467175,5
155027,0525467815,9
135277,0679731148,7
146175,1572592079,7
266522,0517548852,8
8782,0440229081,9
68383,0789205386,8
33943,2253002887,8
16161,1558748865,7
255546,0373243286,5
11676,"\0432534220\""""",6
180042,0385323921,5
3827,0394534433,7
8971,0300084730,9
160062,0060937939,5
264634,0743446135,4
127481,006053429X,10
85757,0385335881,6
206423,0312978375,5
255943,0330242024,8
31556,0307006441,4
164926,1576731022,6
68491,0373707533,5
168216,0441008313,7
59059,0812548094,5
136071,0312282060,9
48579,0451170385,9
174216,0151000611,7
80683,0590336940,10
216444,0064640337,5
265487,0425152669,7
229703,0060199652,8
44296,0743442555,10
177072,0425150984,9
61762,3525713835,5
161870,0393316130,6
80945,0140244816,7
98428,8408043641,8
94951,0449208133,9
206775,043999358X,8
214786,0345370775,10
72352,0373059388,5
140842,3442131790,6
183142,0517701529,10
63714,0099468719,8
264317,1563896176,8
98391,0060001445,8
120598,0553580388,7
238889,0312613954,10
33818,0451160525,9
226482,0552150061,8
43004,0679733094,8
58363,0385485247,5
204393,0842329293,10
124876,0060182571,8
140000,0140435131,10
119575,0451141083,7
113983,0395700132,5
10447,0375703055,6
19493,0525945768,10
173415,0140094547,9
268030,0679736808,8
57006,0446604550,9
229409,0425183750,7
247852,0440505828,7
258884,038531437X,7
91576,0007108265,8
272273,0671876422,8
154176,0854294220,7
94951,0061020656,9
223566,0451150244,7
89602,0142001805,8
115435,0345368754,10
67542,006054161X,7
36839,0385297661,8
58768,0671759345,10
45113,0061092096,10
259829,0553573616,5
273197,0553579177,9
120565,0099529912,7
58855,0782129447,7
154176,0816015201,7
128557,0860681815,8
196053,0316769487,7
258938,0312326068,10
208815,0439139600,10
118434,0825615488,7
19085,0380725584,9
30072,1591822548,8
142256,0452282829,8
165319,0060524944,7
137742,0373270704,5
157252,0810914271,7
26620,0553275259,8
145916,8877822358,8
67840,0425141551,10
116006,3442430372,5
137336,0345387023,9
97290,0304351679,10
135609,0312089244,7
242,3257207522,10
104268,0812530055,9
11224,0452260116,2
150968,0060539860,7
254971,0380705354,10
155778,006092988X,10
278356,0802100155,7
269728,0091769388,9
264543,0671880314,8
69089,000715786X,6
108379,0969586205,10
150561,0140434003,9
75115,0140621903,8
253226,0446609943,7
195116,0875421849,8
105214,0385420161,3
151139,0373218036,5
186039,0373153295,6
31846,0345445732,9
115589,3894250224,4
243328,0066211662,10
54898,0764552503,8
138602,0345335082,10
147451,0340770457,7
30511,000223257X,7
104665,0449221148,8
139467,0670860743,6
147224,0815411782,8
172941,9024541697,6
27169,0373230176,7
115435,0060987103,10
61028,0553251112,9
33319,0316788228,9
224646,0345389964,6
94494,0743254430,7
56804,0385333412,7
55892,0399146504,8
203017,0739402528,5
92810,0312185863,7
128325,0446530522,9
98356,0886777844,10
162590,0393312836,9
207616,0345450736,7
38273,0135295467,5
270326,0439064872,10
271354,0786864370,5
212965,0373099959,8
153322,0876054718,10
16161,0207197687,9
274117,8809202554,9
60337,0323018963,9
167746,0385504209,6
148798,0451406923,10
177690,0312974965,6
229258,1929998880,10
160434,0394748646,9
251422,0373250266,6
90471,1567185126,8
107951,0345422589,8
41841,0553568019,6
229011,0345380371,6
178199,0394578791,6
244742,0671528068,7
179939,842043924X,6
135624,0140622306,10
141902,0385247052,10
54817,0582275253,7
239106,059600348X,8
238699,0373272677,5
246617,0099521318,8
109491,0451457269,7
105795,0898658586,7
73056,0849937809,8
97598,3462018493,10
11601,031211933X,5
148586,0312957963,7
171118,0060510862,6
156467,0061084735,10
76019,0140071814,6
37644,0345368959,9
219683,0345419626,2
157252,0440184053,10
28492,0751533068,5
146175,1564581764,8
234828,0151002762,6
20462,0440211727,7
114368,0345367898,5
71853,0345389964,7
171295,0446386405,8
157252,0525947647,8
59912,0345386825,7
259155,2226118330,7
186570,0380752875,4
220314,034542347X,10
236172,0385504209,10
6242,0345419030,5
16966,037370447X,6
197206,0385502532,5
94347,0020188706,7
206393,0345428692,5
241204,009182947X,8
69389,0451167805,8
61854,0446364304,4
226482,0140276521,9
59172,0330337114,9
276231,0380728265,3
54335,0385510438,8
136382,0385424736,5
97208,0312289197,5
74287,B00004U8P8,10
67840,0061040797,9
216683,0142437344,6
12272,1412019982,10
193131,0140620478,10
232131,0380789035,8
57599,0440184622,3
75591,0316107298,10
244375,0967076803,9
164728,0393322947,6
274005,0395877431,8
37874,0440777062,8
9417,0671525425,5
195904,0375411089,8
92005,9722323229,7
231827,0451526503,10
17926,0816732205,9
47279,096641182X,5
60424,0751506028,5
112401,1400032717,6
171968,0894716905,9
3282,0345371615,7
150663,0394800389,10
77809,0312863349,8
90616,0345452534,8
266355,0064409945,9
25601,0395599326,8
69933,0446602159,8
83671,015696158X,9
57398,0449219569,8
195374,0316604917,7
131622,0441670695,7
179327,0812533054,9
239584,0345436911,8
250962,0064409945,9
224764,038073043X,8
93711,0373227140,7
262998,0091792282,8
208815,0842329129,10
126395,1578561256,10
141871,0553099930,5
180591,1563054922,8
41781,1561708453,7
227705,0380833867,6
85993,0425153975,10
7105,075153157X,4
263877,1551668246,6
105795,2226089667,9
88283,0028610741,8
205735,0307106535,10
228445,0671319590,8
222220,0553066978,5
174700,0345402871,8
168245,0380750848,9
266283,0671532650,8
243745,9057670860,10
81771,0156027321,10
6251,0345330455,7
5350,0140620109,7
115435,0440206154,9
143415,0380714981,6
148199,0099839407,3
68256,0670892963,8
83646,0060988258,6
204591,0671024914,8
94347,0060165170,7
191716,0684871556,7
136010,0316603287,4
138674,0671708635,5
251844,0060907002,7
205735,0373166893,10
93034,0552771848,7
225686,0553278223,2
245371,0679772677,7
52044,0441627404,9
191014,0967044421,6
229768,0439139597,10
69078,0060927208,8
102967,0385128533,5
248356,844733452X,10
259057,0060392452,8
252903,0747557853,5
69933,0440224640,7
6662,0671025945,8
220688,038549081X,10
241980,0446611212,10
234165,0446612545,8
114444,0671004565,6
170073,0330312790,7
86145,0441359175,4
196047,0425162443,7
88122,0439136350,10
137190,0099454755,7
95316,0440224047,7
248718,0060954884,6
28537,3423300426,9
119590,068484477X,8
272897,0316121908,8
35407,3423204206,9
208568,0449702545,5
114893,0006370101,6
210738,0764550721,8
69709,0786006587,7
239688,0515126772,10
247055,0425114511,10
164096,0140046569,8
35490,3442450365,7
69232,0671504207,10
13347,8432204285,8
252654,0373260849,7
228681,0515131083,7
264525,0345327225,10
261829,0307440729,7
8681,0345350499,7
124310,0743437810,9
7346,0061043494,8
190708,0380005271,10
228681,0684818590,10
130554,0152002030,5
123883,0060092181,5
68128,0345302575,7
255078,0553573306,7
20462,0062513982,4
184465,068486813X,5
81015,0676973779,10
165268,0451178157,8
155356,273281881X,7
208668,0451204123,5
22409,0425196844,10
97754,0425188787,7
217986,0836251822,8
124989,1551660504,10
187763,0805036253,8
199092,0140580271,7
163319,0330309552,8
51449,000647618X,10
117111,0671024612,6
224525,0451146913,10
79740,0515121843,5
243294,0440984408,10
232945,0425116840,9
214272,0684850311,7
87540,0060195339,10
266283,0316284955,9
638,0399148582,9
65663,0446605239,10
259378,0521294053,7
204946,1871964148,6
197364,034541389X,7
176214,080411918X,6
209631,0671027662,6
181176,0375700749,9
91058,038531292X,8
163433,0140430113,8
88283,0385335881,10
213312,0553347756,10
78755,3462021966,5
28523,0521293669,10
119364,0590509624,7
171846,3442447542,10
205943,0738702005,10
85280,0915943158,5
257028,0307001164,10
230030,0345350685,10
105221,0439404371,10
173415,0316284955,8
111847,067102423X,10
35836,0451180410,3
81128,3453105575,7
60337,032302551X,9
226545,038550926X,8
252820,0345312260,5
261037,0141006439,2
257198,0671578057,7
263460,0373258860,6
36554,0140075623,9
251495,0960942025,9
136348,0380809362,3
105374,0676972829,8
20180,0070212570,9
187822,0380012863,8
214786,0061020400,10
85656,0061090662,9
178797,9723703505,9
140863,3785711204,6
159858,0345316509,8
138844,0394351371,9
11676,0006167004,5
264543,0060938099,8
240318,0671011367,6
175100,0449205878,10
129716,0060248025,10
74493,0373258984,6
126492,0064407691,9
28255,0385491034,4
163570,0099699419,10
21484,156619024X,9
21252,0590409891,8
193676,0061073628,9
234797,8426427448,10
151098,0821764403,8
58482,0945703007,8
238120,0553282611,7
203074,0375813144,10
79285,0738203866,8
203910,0440949424,7
220122,0446602612,4
12515,0373790481,4
9227,5553465214,7
195469,0440180090,8
95902,8428812284,5
214851,1562010719,6
162671,0446613436,9
102642,037582233X,8
62891,0486293785,7
52917,0152781617,2
150663,0806523352,8
141901,0312962258,9
68760,0064404994,7
264862,0515090174,7
211426,0345419995,8
141070,0671529692,5
152645,0802136745,6
11724,0515093203,7
111847,0385121679,10
114544,0375703675,6
19493,0440186560,10
213197,0802130836,8
29526,0060193492,10
217986,1570362777,9
29259,0345360001,10
240401,0385503024,10
265751,0671021001,9
265889,0312992327,9
23680,0316284955,5
192093,0840734328,8
