User-ID,Location,Age
183,"porto, porto, portugal",27.0
242,"neuffen, baden-wuerttemberg, germany",37.0
254,"minneapolis, minnesota, usa",24.0
392,"barcelona, catalunya, spain",44.0
507,"dumas, arkansas, usa",
638,"san diego, california, usa",20.0
643,"grenoble, rhone-alpes, france",23.0
651,"interlachen, florida, usa",26.0
709,"roanoke, virginia, usa",14.0
805,"sonoma, california, usa",34.0
850,"bremen, bremen, germany",22.0
882,"berkeley, california, usa",23.0
929,"king of prussia, ,",36.0
1025,"maidstone, england, united kingdom",33.0
1131,"berkeley, ,",22.0
1211,"rennes, bretagne, france",22.0
1424,"north avoca, new south wales, australia",
1435,"st. louis, missouri, usa",36.0
1674,"minneapolis, minnesota, usa",26.0
1733,"independence, west virginia, usa",30.0
1848,"bellingham, washington, usa",22.0
1903,"hualien, taiwan, taiwan",36.0
2024,"oakland, california, usa",34.0
2030,"seabeck, washington, usa",31.0
2033,"omaha, nebraska, usa",27.0
2110,"charlotte, north carolina, usa",
2179,"sunderland, massachusetts, usa",30.0
2276,"niskayuna, new york, usa",46.0
2313,"cincinnati, ohio, usa",23.0
2358,"bryan, texas, usa",23.0
2442,"torino, ,",25.0
2766,"frisco, texas, usa",42.0
2891,"beaverton, oregon, usa",
2977,"richland, washington, usa",25.0
3167,"milwaukee, wisconsin, usa",42.0
3282,"didsbury, alberta, canada",52.0
3346,"tehran, tehran, iran",20.0
3363,"knoxville, tennessee, usa",29.0
3371,"groveland, massachusetts, usa",25.0
3373,"elk grove, california, usa",30.0
3538,"madrid, madrid, spain",31.0
3675,"barcelona, catalunya, spain",24.0
3757,"madrid, madrid, spain",
3827,"orlando, florida, usa",23.0
3917,"toronto, ontario, canada",25.0
3923,"vienna, ,",
4017,"new orleans, louisiana, usa",48.0
4197,"anchorage, alaska, usa",61.0
4334,"rome, lazio, italy",38.0
4385,"albq, new mexico, usa",33.0
4435,"roma, lazio, italy",30.0
4514,"vila nova de famalicão, braga, portugal",23.0
4785,"litchfield, connecticut, usa",30.0
4896,"ploiesti, prahova, romania",18.0
4938,"charleston, south carolina, usa",30.0
5209,"medford, new jersey, usa",48.0
5350,"köln, nordrhein-westfalen, germany",20.0
5476,"chester, ,",
5499,"lakeland, tennessee,",60.0
5543,"cumberland, maryland, usa",29.0
5582,"seattle, washington, usa",26.0
5899,"ulm, baden-wuerttemberg, germany",25.0
5956,"indianapolis, indiana, usa",27.0
6073,"houston, texas, usa",28.0
6092,"weybridge, surrey, united kingdom",
6238,"silsden, keighley, west yorkshire, united kingdom",38.0
6242,"calgary, alberta, canada",
6251,"wahiawa, hawaii, usa",32.0
6280,"a coruña, , spain",46.0
6323,"wilmington, north carolina, usa",35.0
6532,"new westminster, british columbia, canada",
6543,"strafford, missouri, usa",34.0
6563,"burien, washington, usa",31.0
6564,"lisboa, estremadura, portugal",37.0
6575,"seattle, washington, usa",
6611,"oradea, n/a, romania",22.0
6662,"toronto, ontario, canada",31.0
7082,"carlisle, pennsylvania, usa",
7105,"chertsey, england, united kingdom",
7125,"apo, ae, usa",28.0
7134,"bothell, washington, usa",23.0
7158,"omaha, nebraska, usa",30.0
7210,"rothesay, new brunswick, canada",
7283,"saint marys, georgia, usa",30.0
7286,"pasco, washington, usa",28.0
7346,"sunnyvale, california, usa",49.0
7841,"salt lake city, utah, usa",
7864,"klang, selangor, malaysia",17.0
7915,"st. paul, minnesota, usa",
8019,"toronto, ontario, canada",
8066,"chicago, illinois, usa",
8067,"owings mills, maryland, usa",26.0
8167,"cambridge, ,",39.0
8234,"colorado springs, colorado, usa",44.0
8245,"torrance, california, usa",31.0
8253,"tulsa, oklahoma, usa",26.0
8284,"manchester, kentucky, usa",28.0
8362,"los angeles, california, usa",28.0
8454,"auburndale, massachusetts, usa",
8529,"logroño, la rioja, spain",
8681,"orlando, florida, usa",34.0
8734,"chula vista, california, usa",
8782,"calgary, alberta, canada",239.0
8872,"athens, georgia, usa",65.0
8890,"paris, ile-de-france, france",47.0
8936,"elizabeth city, north carolina, usa",18.0
8971,"berlin, berlin, germany",27.0
9029,"gavà, barcelona, spain",
9177,"leicester, leicestershire, united kingdom",26.0
9227,"glendora, california, usa",24.0
9417,"whitby, ontario, canada",26.0
9440,"indianapolis, indiana, usa",21.0
9613,"collings lakes, new jersey, usa",34.0
9747,"o`fallon, missouri, usa",
9856,"glendale, colorado, usa",22.0
9908,"woodstock, georgia, usa",36.0
10030,"pittsburgh, pennsylvania, usa",66.0
10067,"watton, norfolk, england",61.0
10118,"minneapolis, minnesota, usa",44.0
10314,"beaverton, oregon, usa",
10354,"martinsburg, west virginia, usa",15.0
10447,"chicago, illinois, usa",
10532,"shipley, west yorkshire, united kingdom",29.0
10560,"chicago, illinois, usa",27.0
10819,"richmond, kentucky, usa",27.0
11120,"kerava, uusimaa, finland",58.0
11224,"tumwater, washington, usa",51.0
11245,"scarborough, ontario, canada",
11400,"ottawa, ontario, canada",49.0
11601,"brooklyn, new york, usa",
11629,"houston, texas, usa",21.0
11676,"n/a, n/a, n/a",
11687,"orillia, ontario, canada",47.0
11718,"reno, nevada, usa",
11724,"west lawn, pennsylvania, usa",42.0
11993,"lakewood, colorado, usa",37.0
12100,"quezon city, national capital region, philippines",26.0
12154,"pittsburgh, pennsylvania, usa",41.0
12272,"ploiesti, prahova, romania",18.0
12515,"redwood city, california, usa",
12537,"byron, minnesota,",
12538,"byron, minnesota, usa",18.0
12569,"selangor, subang jaya, malaysia",22.0
12650,"donostia, gipuzkoa, spain",27.0
12657,"bremen, bremen, germany",48.0
12824,"long beach, california, usa",18.0
12835,"hamburg, hamburg, germany",38.0
12863,"london, england, united kingdom",29.0
12917,"moore, oklahoma, usa",24.0
12982,"getxo, vizcaya, spain",41.0
13082,"bellwood, pennsylvania, usa",
13093,"zaragoza, aragon, spain",29.0
13126,"mumbai, maharashtra, india",21.0
13273,"harrisburg, pennsylvania, usa",201.0
13279,"moodus, connecticut, usa",
13347,"vigo, vigo pontevedra, spain",49.0
13518,"fishers, indiana, usa",27.0
13551,"raleigh, north carolina, usa",
13552,"cordova, tennessee, usa",32.0
13582,"lisboa, lisboa, portugal",29.0
13666,"tinley park, illinois, usa",54.0
13850,"online, n/a, usa",28.0
13995,"adelaide, south australia, australia",
14079,"valencia, valencia, spain",41.0
14173,"calgary, alberta, canada",
14232,"paris, paris, france",23.0
14387,"coalville, leicestershire, england, united kingdom",35.0
14422,"apple valley, minnesota, usa",
14456,"edmonton, alberta, canada",27.0
14461,"aachen, nordrhein-westfalen, germany",31.0
14521,"providence, rhode island, usa",
14638,"roquemaure, languedoc roussillon, france",33.0
14698,"upstate, new york, usa",
14958,"lezo, euskadi, spain",39.0
15021,"lake mary, florida, usa",37.0
15049,"benbrook, texas, usa",28.0
15208,"woodside, new york, usa",
15408,"cary, north carolina, usa",34.0
15418,"vitoria, álava, spain",23.0
15602,"cherry hill, new jersey, usa",21.0
15670,"round rock, texas, usa",
15918,"cardiff, wales, united kingdom",23.0
15945,"charlotte, north carolina, usa",36.0
15957,"sydney, new south wales, australia",27.0
16009,"stratford, new jersey, usa",25.0
16106,"albany, california, usa",44.0
16161,"cobram, victoria, australia",28.0
16246,"kitakyushu, fukuoka, japan",32.0
16263,"ashland, wisconsin, usa",
16417,"austin, texas, usa",
16504,"kuching, sarawak, malaysia",28.0
16599,"roselle, illinois, usa",33.0
16634,"little rock, arkansas, usa",42.0
16654,"málaga, andalucia, spain",35.0
16718,"houston, texas, usa",29.0
16795,"mechanicsville, maryland, usa",47.0
16908,"chicago, illinois, usa",55.0
16966,"waterloo, ontario, canada",41.0
16996,"stratford, iowa, usa",23.0
17003,"carlsbad, california, usa",
17183,"zaragoza, zaragoza, spain",23.0
17190,"woodstock, georgia, usa",31.0
17282,"irwin, pennsylvania, usa",38.0
17507,"dublin, dublin, ireland",37.0
17667,"iowa city, iowa, usa",33.0
17859,"roanoke, virginia, usa",43.0
17926,"honolulu, hawaii, usa",
17950,"puchong, selangor, malaysia",32.0
18038,"miami, florida, usa",29.0
18067,"kajang, selangor, malaysia",33.0
18082,"southern, california, usa",38.0
18155,"sydney, new south wales, australia",26.0
18172,"levittown, pennsylvania, usa",36.0
18309,"rennes, bretagne, france",34.0
18323,"augusta, maine, usa",41.0
18384,"palma de mallorca, baleares, spain",37.0
