Romance,Thriller,Fantasy,Science Fiction,Mystery,Non-Fiction,Historical,Horror,Adventure,Biography,ISBN
6,3,10,7,4,6,9,2,6,10,0440234743
10,7,4,3,7,7,2,5,4,1,0452264464
7,5,1,4,0,9,5,8,0,10,0971880107
10,9,2,6,3,8,2,4,2,6,0345402871
4,8,6,1,3,8,1,9,8,9,0345417623
4,1,3,6,7,2,0,3,1,7,0375406328
3,1,5,5,9,3,5,1,9,1,0446310786
9,3,7,6,8,7,4,1,4,7,0060168013
9,8,8,0,8,6,8,7,0,7,0671888587
7,10,2,0,7,2,2,0,10,4,0553582747
9,6,9,8,6,8,7,1,0,6,0425182908
6,7,4,2,7,5,10,2,0,2,0440223571
4,2,0,4,9,6,6,10,8,9,0440225701
9,2,6,0,3,3,4,6,6,10,0380715899
3,6,10,2,5,1,9,8,4,5,042511774X
3,10,9,6,8,6,0,0,8,10,0804106304
8,3,8,2,6,5,7,10,8,4,1853260053
0,2,9,7,10,5,7,8,3,0,0060938412
0,9,3,6,1,2,0,4,0,7,0140067477
0,10,0,1,1,5,6,4,0,0,0345465083
2,1,4,9,5,6,3,6,10,7,1558531025
10,0,5,7,4,3,1,5,5,10,0394895894
0,8,10,5,2,3,10,3,2,9,0316769487
2,2,3,6,3,8,0,7,6,1,8445071408
7,0,10,8,8,1,6,9,2,6,8445071769
9,8,3,0,1,0,4,4,10,6,0671867156
8,8,2,2,2,3,7,5,7,0,0446677450
7,3,10,0,7,3,5,7,3,2,0451166892
8,2,8,1,1,1,5,2,8,3,0553347594
0,3,0,4,3,7,7,6,2,0,067976397X
0,10,2,5,6,5,5,5,2,5,0786868716
7,10,10,1,4,0,0,4,2,3,0446608653
2,0,0,4,5,2,8,4,7,0,0446612545
4,2,0,3,4,6,0,2,1,8,0446612618
9,5,9,2,7,7,1,5,6,1,0451208080
10,9,1,9,0,7,0,8,10,5,0671027360
6,9,6,9,2,1,8,7,9,6,0451406923
8,3,3,0,7,2,6,1,1,6,0671042858
5,2,8,9,5,9,9,5,0,3,0060929790
9,5,5,10,4,0,7,4,4,6,0060976845
3,5,3,2,6,7,3,1,9,2,0061099325
0,7,2,9,6,9,4,9,4,6,038572179X
8,4,0,9,9,0,1,5,8,7,0380778556
4,0,6,4,5,6,2,9,2,4,0385336772
5,8,4,0,3,4,9,9,4,6,0440949424
3,0,4,6,9,9,5,4,3,1,0140250964
3,9,9,2,9,0,7,4,3,7,0446527165
6,1,0,10,3,7,1,2,0,0,0385337639
2,10,4,2,0,0,7,9,10,1,0451206673
2,1,2,6,0,9,7,9,9,9,0330332775
1,2,8,6,3,9,4,1,10,7,0399138684
3,8,4,8,3,9,4,8,7,2,0553278223
0,2,3,1,0,6,7,6,4,0,3257207522
6,6,8,2,8,0,0,3,8,5,3257208626
10,2,0,3,8,2,8,6,3,2,3492045642
9,4,4,2,8,3,10,4,3,4,3498020862
6,8,6,4,9,9,6,9,4,2,0060977493
6,10,10,1,8,9,9,0,5,6,0316602906
7,9,8,1,10,9,1,4,4,5,0316693006
2,7,0,5,3,0,6,8,3,3,0345311396
5,2,5,6,10,9,9,2,6,2,0345378490
1,9,3,7,8,6,0,2,8,0,0380718332
8,7,0,5,4,5,9,4,5,4,0385508042
10,4,3,2,2,3,8,1,8,0,0385509456
0,4,5,5,2,6,8,10,9,7,0385511612
5,7,4,7,9,3,9,7,9,1,0385730586
4,8,3,10,5,0,8,0,4,3,0446605484
2,5,1,2,4,8,1,9,7,1,0446610399
10,4,6,7,0,5,0,1,0,10,0449006522
4,9,8,5,10,10,0,0,1,8,0449911004
2,0,4,6,5,0,4,4,5,2,0452282152
4,6,4,4,4,9,9,2,0,4,0553580388
8,0,2,3,0,0,7,1,7,6,0671023616
9,9,1,5,5,2,10,1,0,5,0671027387
4,10,8,0,6,4,4,1,10,2,0684848783
6,5,1,5,1,1,1,10,2,1,155874262X
3,8,5,0,7,6,9,2,0,4,0060987103
3,9,7,0,9,0,3,7,4,1,0151008116
5,4,1,10,10,10,2,8,6,6,0525947647
10,5,7,3,7,3,7,8,2,2,0804111359
10,1,9,2,2,4,4,1,9,5,1558744150
4,5,0,4,8,9,1,0,9,10,0316782505
8,9,8,8,5,7,10,0,9,3,0060013117
0,7,0,2,3,7,5,9,6,7,0440241413
1,9,10,7,2,6,2,6,10,1,0451526341
9,5,2,2,8,6,4,9,6,8,0553280589
0,6,5,9,8,0,3,8,3,9,0571197639
2,8,1,3,5,1,7,7,0,2,0374270325
9,8,4,5,3,9,1,10,7,10,0375719180
5,4,8,0,4,5,4,5,5,6,0440235502
3,10,7,6,8,6,2,2,7,4,044023722X
3,7,5,1,3,10,3,5,5,0,1853260673
7,5,2,8,1,10,7,9,2,4,0312963009
5,9,5,3,2,3,0,3,0,0,0449912302
9,5,4,10,3,10,2,0,5,1,0380730138
7,9,4,6,9,1,7,1,3,0,1573228737
4,8,0,8,10,7,5,6,2,0,0142001740
4,1,4,7,10,8,1,2,2,0,0312995423
7,5,7,10,8,4,2,4,4,4,0449202631
2,10,9,3,8,9,8,1,7,7,0743411269
6,7,2,5,0,6,0,8,0,0,0156528207
6,1,4,7,7,2,6,2,5,5,0380012863
2,6,2,7,9,3,0,3,6,10,0875421288
3,5,8,0,4,10,6,0,3,5,0671867113
1,9,4,10,9,0,5,5,3,7,0060173289
3,7,7,4,3,1,10,2,2,3,006101351X
3,9,10,10,4,3,10,9,7,5,0316666343
5,7,6,9,10,9,7,1,8,0,0440224675
7,10,3,3,4,7,4,7,9,0,0449002632
9,8,5,2,7,8,5,10,6,0,0449213773
4,4,9,3,5,6,8,0,5,6,0452279690
2,7,4,8,4,8,9,3,8,4,0679427430
9,8,2,3,8,9,10,5,1,6,1573225126
1,10,1,10,0,10,10,10,2,5,0345335465
7,8,6,3,5,4,7,0,0,10,044021145X
5,9,1,4,0,6,0,3,8,0,0553210092
3,5,5,7,0,6,0,6,2,10,055358099X
7,2,0,7,2,1,0,2,1,1,0316168815
5,0,1,5,2,3,0,7,6,6,0345424719
2,9,9,2,1,0,6,6,1,6,0375414746
7,0,8,6,2,7,6,10,7,5,0440226104
8,4,2,2,0,7,1,2,7,7,0452277337
10,3,3,4,5,4,6,1,6,9,0671021001
6,0,6,4,2,2,3,1,1,0,0805063897
4,3,10,9,1,2,6,6,3,4,0679777431
4,5,8,1,4,2,3,9,5,7,0842329129
0,9,7,10,6,0,1,2,0,8,0380973545
7,1,8,6,8,5,5,10,3,9,0060915544
9,1,6,4,10,5,1,4,9,3,0060925000
8,5,1,0,4,8,5,9,6,4,0060932759
9,5,4,10,8,5,10,7,1,8,0312195516
4,6,9,0,9,4,9,1,5,10,039914739X
0,2,4,3,2,9,4,10,7,10,081296666X
3,0,10,6,7,2,5,1,6,7,0312278586
5,5,4,7,0,9,3,3,2,2,0380710218
3,10,0,10,10,1,8,9,1,4,0671000306
8,8,7,0,0,8,10,7,9,8,0618173870
6,2,2,1,4,2,5,1,2,4,0156027321
10,10,0,0,9,8,6,0,7,2,0385721420
7,4,0,6,4,5,5,7,8,1,0425181111
8,10,9,8,9,9,6,0,6,9,0380732688
4,5,9,6,4,6,8,2,7,1,0140286276
10,6,1,3,6,2,1,10,9,6,0449907481
0,7,2,1,2,4,10,7,9,6,0553107305
6,6,7,0,3,5,8,1,0,9,080213825X
1,6,2,9,1,10,6,1,2,10,0345441133
