Romance,Thriller,Fantasy,Science Fiction,Mystery,Non-Fiction,Historical,Horror,Adventure,Biography,User-ID
0,0,0,0,0,0,0,0,0,0,183
30,13,12,10,25,20,42,28,17,9,242
27,54,63,72,90,45,45,63,36,18,254
24,11,19,25,21,31,35,46,16,25,392
9,81,27,81,72,72,45,27,54,0,507
47,68,61,44,58,60,51,32,44,50,638
9,13,7,16,14,7,8,13,16,5,643
53,29,43,28,27,29,55,29,32,30,651
16,0,20,16,8,24,40,36,32,32,709
16,0,32,48,40,0,32,32,40,16,805
0,0,0,0,0,0,0,0,0,0,850
41,51,22,12,42,33,40,25,49,61,882
29,39,8,25,29,51,26,34,36,20,929
37,26,28,28,42,26,12,35,21,24,1025
72,32,32,72,32,40,56,8,40,0,1131
16,68,36,62,69,19,24,40,39,56,1211
18,34,34,48,26,37,39,54,34,45,1424
35,25,5,20,0,45,25,40,0,50,1435
30,20,45,40,37,25,40,57,45,47,1674
21,16,34,21,29,38,27,24,14,32,1733
35,63,63,21,56,28,49,56,63,28,1848
76,52,47,65,49,19,40,47,32,43,1903
63,27,58,27,36,27,31,36,27,45,2024
30,40,30,75,60,15,90,45,60,30,2030
59,41,28,61,0,12,68,30,25,71,2033
33,35,34,25,31,43,63,31,37,50,2110
36,57,52,23,56,38,78,49,28,82,2179
50,49,59,55,46,49,53,51,49,39,2276
29,36,8,20,20,39,39,28,22,26,2313
19,46,34,30,43,28,41,58,51,27,2358
0,0,0,0,0,0,0,0,0,0,2442
27,81,90,90,36,27,90,81,63,45,2766
30,29,50,35,27,37,29,57,23,31,2891
26,27,45,38,34,13,32,27,23,23,2977
63,47,37,30,41,37,23,40,36,57,3167
63,27,29,51,46,37,48,42,51,60,3282
35,46,45,43,54,47,47,51,23,25,3346
44,45,70,62,68,21,16,32,18,35,3363
58,13,50,51,52,17,35,53,32,48,3371
20,8,29,27,47,34,40,35,52,50,3373
37,43,25,49,31,37,27,26,33,17,3538
7,14,0,56,21,35,42,7,49,56,3675
36,40,4,16,4,40,16,24,20,12,3757
47,44,36,39,19,34,41,35,37,40,3827
40,24,38,0,30,56,34,36,64,39,3917
30,45,50,35,25,35,5,10,30,45,3923
40,50,39,39,33,30,67,67,52,72,4017
55,68,36,8,44,35,46,51,56,67,4197
43,21,37,59,48,24,30,43,30,3,4334
66,46,51,33,43,45,51,48,48,35,4385
0,0,0,0,0,0,0,0,0,0,4435
0,0,0,0,0,0,0,0,0,0,4514
22,18,34,35,29,26,31,16,43,6,4785
30,20,3,10,30,0,30,26,6,6,4896
56,80,8,48,32,80,32,16,32,8,4938
21,14,35,21,14,56,28,42,35,63,5209
11,0,16,16,18,18,2,2,4,0,5350
35,30,25,50,5,10,45,40,40,20,5476
73,43,66,53,70,76,56,63,73,63,5499
30,22,46,29,30,44,17,28,25,41,5543
65,70,35,80,20,60,70,15,60,80,5582
8,72,8,0,32,40,40,64,24,0,5899
37,27,15,20,30,27,17,15,25,15,5956
19,28,13,35,29,30,66,56,72,64,6073
100,100,90,0,90,80,0,0,90,70,6092
11,19,48,48,20,30,31,49,21,32,6238
15,52,29,24,36,45,40,42,19,18,6242
59,48,35,39,37,56,38,41,40,31,6251
35,7,49,0,0,35,28,56,42,7,6280
24,20,16,14,27,22,24,38,27,36,6323
0,0,0,0,0,0,0,0,0,0,6532
0,56,8,56,16,40,16,48,72,64,6543
35,45,34,29,40,47,33,17,32,40,6563
36,13,27,31,22,4,27,36,18,4,6564
55,19,44,45,48,41,30,46,42,35,6575
0,0,0,0,0,0,0,0,0,0,6611
21,10,47,50,51,40,46,38,33,54,6662
18,24,24,24,60,12,36,12,6,12,7082
11,15,24,20,23,20,6,0,17,20,7105
21,46,49,21,30,29,42,59,51,29,7125
35,14,70,28,42,7,35,35,70,14,7134
32,64,24,80,40,0,64,0,32,24,7158
50,20,30,15,40,25,25,10,45,45,7210
31,41,43,46,41,23,32,39,37,20,7283
50,73,60,29,40,33,62,40,66,26,7286
31,39,48,46,45,57,50,46,43,38,7346
48,55,52,59,12,62,57,40,56,43,7841
5,16,12,21,19,24,22,18,29,20,7864
66,57,41,59,43,43,26,36,25,27,7915
40,30,70,100,70,0,90,10,20,0,8019
25,33,24,28,19,46,29,31,19,37,8066
56,45,72,32,51,39,25,55,34,25,8067
17,28,22,31,35,34,26,24,14,21,8167
35,45,75,15,75,45,55,75,40,85,8234
53,60,19,16,47,60,59,41,46,29,8245
70,57,28,56,86,23,31,57,45,77,8253
80,63,33,85,43,67,41,32,66,18,8284
48,24,6,24,18,42,24,48,48,12,8362
19,21,35,36,15,28,28,19,18,8,8454
0,0,0,0,0,0,0,0,0,0,8529
23,33,39,49,38,27,32,51,24,35,8681
26,13,17,34,43,44,52,13,36,48,8734
27,27,81,63,0,63,72,72,36,27,8782
22,45,9,31,36,13,36,27,9,27,8872
40,13,31,9,9,45,45,31,40,40,8890
67,40,31,27,24,45,51,47,17,17,8936
29,35,25,30,44,34,19,73,49,49,8971
10,5,0,8,6,13,13,16,11,10,9029
12,4,36,8,40,40,16,16,20,24,9177
63,35,21,7,31,10,35,17,28,24,9227
48,13,45,35,30,31,33,17,20,26,9417
0,0,0,0,0,0,0,0,0,0,9440
0,28,35,35,35,56,0,63,35,49,9613
53,53,50,49,50,80,24,63,44,23,9747
29,26,47,47,23,29,31,16,16,5,9856
90,18,0,9,27,90,9,27,27,27,9908
24,8,32,48,68,36,56,44,28,60,10030
36,48,48,6,12,18,30,24,30,60,10067
55,39,17,26,31,33,63,27,53,7,10118
16,26,22,36,43,46,16,39,36,29,10314
